Asset1,Asset2,Asset3,Asset7,Asset8,Asset9,B2B_purchase1,Capital1,CapitalRatio1,Cost1,Cost10,Cost11,Cost12,Cost13,Cost14,Cost15,Cost16,Cost17,Cost2,Cost3,Cost4,Cost5,Cost8,Cost9,Design1,Emp_female,Emp_male,Emp_total,EquityShareCapital,ITAssetC,Liability1,Liability2,Liability3,NProfitB4Tax,OutsourcingCost,Patent1,RNDcost1,RevProfit1,RevProfit2,TAssetC1,TAssetC2,TAssetC3,TAssetC4,TAssetC5,TAssetC6,TAssetC7,TAssetC8,TradeMark1,UMR1,emp2,emp3,emp4,emp6,emp66,emp7,emp8
14923,11739,,72.0,1089.0,395.0,,5872,0.0,0,523,316.0,0.0,1.0,12386,482.0,0.0,0.0,61348,482,61348.0,0.0,44602,3520,0.0,1059.0,175.0,1234,3000.0,37.0,9051,7966.0,1085.0,1265,,0.0,,62808,287,478.0,0.0,0.0,0.0,0.0,8.0,527.0,-57.0,1.0,0.0,59,30.0,29.0,59,,30.0,29.0
5602,4644,,390.0,173.0,1.0,,2128,0.0,24629,41,673.0,8.0,0.0,1574,17.0,0.0,1.0,1894,17,26523.0,0.0,24176,51,0.0,288.0,706.0,994,800.0,0.0,3474,3474.0,,237,,0.0,,26678,99,116.0,0.0,0.0,0.0,0.0,81.0,35.0,0.0,0.0,0.0,994,706.0,288.0,15,,12.0,3.0
18256,16115,,1076.0,342.0,,,16079,0.0,0,181,59.0,15.0,1.0,2418,641.0,0.0,0.0,11680,641,11680.0,0.0,8481,525,0.0,38.0,72.0,110,5325.0,0.0,2177,1857.0,320.0,3043,,1.0,314.0,14838,526,49.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,15.0,0.0,110,72.0,38.0,110,2.0,72.0,38.0
5406,3420,,25.0,798.0,,,2248,0.0,0,76,169.0,2.0,0.0,1720,37.0,25.0,0.0,24024,37,24024.0,0.0,22011,46,0.0,356.0,1510.0,1866,800.0,0.0,3158,2364.0,794.0,482,198.0,0.0,,24197,346,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1866,1510.0,356.0,16,12.0,10.0,6.0
6761,2290,,160.0,3643.0,,,2717,0.0,0,381,363.0,4.0,20.0,4931,25.0,25.0,0.0,19179,25,19179.0,0.0,13390,90,0.0,201.0,153.0,354,500.0,0.0,4044,2223.0,1821.0,662,,0.0,,19818,48,120.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,4,3.0,1.0,4,,3.0,1.0
3202,2451,,262.0,219.0,16.0,,462,0.0,29,175,371.0,23.0,0.0,1285,73.0,70.0,0.0,17847,73,17876.0,29.0,15909,84,0.0,559.0,62.0,621,400.0,0.0,2740,1412.0,1328.0,185,,0.0,,18115,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,62.0,559.0,24,229.0,2.0,22.0
23127,13086,,1563.0,1019.0,935.0,,15541,0.0,0,823,130.0,8.0,284.0,28089,616.0,0.0,2.0,56044,616,56044.0,0.0,25154,1556,0.0,648.0,142.0,790,10000.0,312.0,7586,6414.0,1172.0,761,21728.0,3.0,,57176,245,595.0,0.0,0.0,0.0,293.0,0.0,302.0,0.0,0.0,0.0,285,88.0,197.0,172,18.0,18.0,154.0
7725,6384,,710.0,172.0,55.0,,4689,0.0,43879,66,1063.0,5.0,-1.0,422,30.0,0.0,0.0,3053,30,46932.0,7104.0,37967,306,0.0,474.0,1092.0,1566,1000.0,5.0,3036,3017.0,19.0,1115,5896.0,0.0,,47788,289,40.0,0.0,0.0,0.0,0.0,29.0,11.0,0.0,0.0,0.0,1566,1092.0,474.0,46,,42.0,4.0
4444,4288,,,121.0,4.0,,3628,0.0,13848,61,318.0,1.0,0.0,1531,28.0,0.0,19.0,701,28,14549.0,0.0,12582,56,0.0,167.0,108.0,275,500.0,0.0,816,816.0,,378,,0.0,,14822,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275,108.0,167.0,8,,5.0,3.0
13109,7819,8.0,2175.0,2089.0,,28.0,6702,0.0,37857,78,67.0,1.0,-103.0,3214,111.0,1.0,1.0,2687,111,40544.0,0.0,37286,1,0.0,470.0,1155.0,1625,1000.0,0.0,6407,5264.0,1143.0,392,,0.0,,40778,269,86.0,0.0,0.0,0.0,44.0,0.0,42.0,0.0,0.0,0.0,1625,1155.0,470.0,20,,16.0,4.0
